,Unnamed: 0,Unnamed: 0.1,id,label,template,placeholders,nr_instances,err
14021,14021,14021,43451,moving color pencils down,Moving [something] down,['pen'],2,
14033,14033,14033,125382,pushing marker from left to right,Pushing [something] from left to right,['marker'],2,
14039,14039,14039,6705,pushing bottle from right to left,Pushing [something] from right to left,['bottle'],2,
14065,14065,14065,122430,pushing bottle from left to right,Pushing [something] from left to right,['bottle'],2,
14068,14068,14068,53219,pushing color pencils from right to left,Pushing [something] from right to left,['pen'],2,
14122,14122,14122,80839,moving pen down,Moving [something] down,['pen'],2,
14127,14127,14127,29056,uncovering a brush,Uncovering [something],['brush'],2,e_frame - s_frame < 4
14151,14151,14151,125205,putting cup on a surface,Putting [something] on a surface,['cup'],2,
14180,14180,14180,117741,putting a cup on a surface,Putting [something] on a surface,['cup'],2,
14195,14195,14195,140247,pushing tumbler from right to left,Pushing [something] from right to left,['tumbler'],2,
14244,14244,14244,46980,pushing lipstick from right to left,Pushing [something] from right to left,['lipstick'],2,
14261,14261,14261,56904,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
14285,14285,14285,51111,moving key up,Moving [something] up,['key'],2,
14296,14296,14296,148147,putting perfume bottle on a surface,Putting [something] on a surface,['perfume'],2,
14319,14319,14319,67559,moving glasses up,Moving [something] up,['glass'],2,
14320,14320,14320,192473,taking marker,Taking [one of many similar things on the table],['marker'],2,
14335,14335,14335,3586,putting a matchbox on a surface,Putting [something] on a surface,['matchbox'],2,
14348,14348,14348,52418,uncovering mug,Uncovering [something],['mug'],2,
14363,14363,14363,166613,pushing mouse from right to left,Pushing [something] from right to left,['mouse'],2,
14368,14368,14368,143705,putting pen on a surface,Putting [something] on a surface,['pen'],2,
14384,14384,14384,137977,uncovering pizza cutter,Uncovering [something],['cutter'],2,False
14389,14389,14389,21532,pushing color pencils from left to right,Pushing [something] from left to right,['pen'],2,
14397,14397,14397,6876,pushing bottle from right to left,Pushing [something] from right to left,['bottle'],2,
14417,14417,14417,71859,moving spoon up,Moving [something] up,['spoon'],2,
14423,14423,14423,34386,uncovering color pencils,Uncovering [something],['pen'],2,e_frame - s_frame < 4
14427,14427,14427,155712,moving remote control down,Moving [something] down,['remote'],2,
14429,14429,14429,21047,moving calculator up,Moving [something] up,['calculator'],2,
14437,14437,14437,4706,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
14447,14447,14447,29062,putting pen on a surface,Putting [something] on a surface,['pen'],2,
14452,14452,14452,73924,moving mp3 player down,Moving [something] down,['player'],2,
14457,14457,14457,190985,moving knife up,Moving [something] up,['knife'],2,
14463,14463,14463,71676,moving color pencils down,Moving [something] down,['pen'],2,
14469,14469,14469,65441,pushing handphone from left to right,Pushing [something] from left to right,['phone'],2,
14472,14472,14472,165582,covering color pencils with paper,Covering [something] with [something],"['pen', 'paper']",3,e_frame - s_frame < 4
14497,14497,14497,44019,pushing container from left to right,Pushing [something] from left to right,['container'],2,
14556,14556,14556,203665,covering card with paper,Covering [something] with [something],"['card', 'paper']",3,e_frame - s_frame < 4
14570,14570,14570,65303,moving mouse down,Moving [something] down,['mouse'],2,
14572,14572,14572,73414,taking marker,Taking [one of many similar things on the table],['marker'],2,
14589,14589,14589,100629,moving glass up,Moving [something] up,['glass'],2,Last index is not hand
14607,14607,14607,116558,pushing mouse from right to left,Pushing [something] from right to left,['mouse'],2,
14609,14609,14609,193408,pushing brush from left to right,Pushing [something] from left to right,['brush'],2,
14618,14618,14618,128497,taking a plate,Taking [one of many similar things on the table],['plate'],2,
14625,14625,14625,73370,moving stone up,Moving [something] up,['stone'],2,False
14645,14645,14645,82592,pushing mobile from right to left,Pushing [something] from right to left,['phone'],2,
14650,14650,14650,197935,pushing doll from right to left,Pushing [something] from right to left,['doll'],2,
14699,14699,14699,202313,moving a banana up,Moving [something] up,['banana'],2,
14707,14707,14707,92790,moving jar up,Moving [something] up,['jar'],2,
14720,14720,14720,108095,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
14759,14759,14759,86700,uncovering a rock,Uncovering [something],['rock'],2,e_frame - s_frame < 4
14763,14763,14763,31363,uncovering card,Uncovering [something],['card'],2,
14766,14766,14766,123580,pushing scissors from left to right,Pushing [something] from left to right,['scissors'],2,
14778,14778,14778,218155,pushing marker from right to left,Pushing [something] from right to left,['marker'],2,
14781,14781,14781,121834,pushing color pencils from right to left,Pushing [something] from right to left,['pen'],2,
14783,14783,14783,152481,moving cable up,Moving [something] up,['cable'],2,
14787,14787,14787,54217,moving plastic bottle down,Moving [something] down,['bottle'],2,
14806,14806,14806,124946,putting plate on a surface,Putting [something] on a surface,['plate'],2,
14807,14807,14807,134786,moving pendrive down,Moving [something] down,['pendrive'],2,
14812,14812,14812,16403,putting scissors on a surface,Putting [something] on a surface,['scissors'],2,
14818,14818,14818,12850,putting a candy on a surface,Putting [something] on a surface,['candy'],2,
14828,14828,14828,203642,pushing paper from right to left,Pushing [something] from right to left,['paper'],2,
14856,14856,14856,137610,moving color pencils up,Moving [something] up,['pen'],2,
14860,14860,14860,158042,putting box on a surface,Putting [something] on a surface,['box'],2,
14888,14888,14888,102056,uncovering pen,Uncovering [something],['pen'],2,e_frame - s_frame < 4
14893,14893,14893,86008,pushing toy from left to right,Pushing [something] from left to right,['toy'],2,
14897,14897,14897,124209,moving sharpener up,Moving [something] up,['sharpener'],2,
14915,14915,14915,144907,pushing remote from right to left,Pushing [something] from right to left,['remote'],2,
14921,14921,14921,30323,putting mouse on a surface,Putting [something] on a surface,['mouse'],2,
14927,14927,14927,121053,moving dreidel down,Moving [something] down,['dreidel'],2,
14958,14958,14958,45826,uncovering a purse,Uncovering [something],['purse'],2,
14962,14962,14962,116749,pushing paper from right to left,Pushing [something] from right to left,['paper'],2,False
14983,14983,14983,52522,taking a fork,Taking [one of many similar things on the table],['fork'],2,
14997,14997,14997,216904,pushing tissue from left to right,Pushing [something] from left to right,['tissue'],2,
15010,15010,15010,127503,taking a pen,Taking [one of many similar things on the table],['pen'],2,
15036,15036,15036,120759,covering cutter with tissue,Covering [something] with [something],"['cutter', 'tissue']",3,False
15045,15045,15045,191946,pushing lipstick from right to left,Pushing [something] from right to left,['lipstick'],2,
15072,15072,15072,10908,putting pen on a surface,Putting [something] on a surface,['pen'],2,
15077,15077,15077,54350,moving remote down,Moving [something] down,['remote'],2,
15085,15085,15085,112107,taking matchbox,Taking [one of many similar things on the table],['matchbox'],2,
15097,15097,15097,120923,pushing keys from left to right,Pushing [something] from left to right,['key'],2,
15098,15098,15098,15411,moving color pencils down,Moving [something] down,['pen'],2,
15166,15166,15166,16197,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
15175,15175,15175,137671,moving a mobile phone up,Moving [something] up,['phone'],2,
15216,15216,15216,159282,moving remote up,Moving [something] up,['remote'],2,
15248,15248,15248,151242,putting marker on a surface,Putting [something] on a surface,['marker'],2,
15276,15276,15276,5396,moving book down,Moving [something] down,['book'],2,
15296,15296,15296,212637,moving notebook down,Moving [something] down,['book'],2,False
15302,15302,15302,29490,pushing adapter from left to right,Pushing [something] from left to right,['adapter'],2,
15317,15317,15317,146335,moving a wallet down,Moving [something] down,['wallet'],2,
15334,15334,15334,20956,uncovering pencil,Uncovering [something],['pen'],2,e_frame - s_frame < 4
15336,15336,15336,45886,pushing bottle from left to right,Pushing [something] from left to right,['bottle'],2,
15368,15368,15368,117378,moving pendrive up,Moving [something] up,['pendrive'],2,
15377,15377,15377,63847,covering a wallet with a piece of paper,Covering [something] with [something],"['wallet', 'paper']",3,
15379,15379,15379,78386,putting a card on a surface,Putting [something] on a surface,['card'],2,
15393,15393,15393,115210,moving ring down,Moving [something] down,['ring'],2,
15409,15409,15409,86375,covering a watch with a card,Covering [something] with [something],"['watch', 'card']",3,
15453,15453,15453,115135,pushing a basket from left to right,Pushing [something] from left to right,['basket'],2,
15483,15483,15483,32365,covering card with paper,Covering [something] with [something],"['card', 'paper']",3,e_frame - s_frame < 4
15490,15490,15490,214790,pushing color pencils from left to right,Pushing [something] from left to right,['pen'],2,
15497,15497,15497,163552,moving bottle up,Moving [something] up,['bottle'],2,
15503,15503,15503,29651,pushing scissors from left to right,Pushing [something] from left to right,['scissors'],2,
15518,15518,15518,217829,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
15527,15527,15527,177298,pushing wallet from left to right,Pushing [something] from left to right,['wallet'],2,
15539,15539,15539,65216,pushing color pencils from right to left,Pushing [something] from right to left,['pen'],2,
15542,15542,15542,148092,pushing brush from left to right,Pushing [something] from left to right,['brush'],2,
15548,15548,15548,54298,putting fork on a surface,Putting [something] on a surface,['fork'],2,
15579,15579,15579,178972,pushing color pencils from right to left,Pushing [something] from right to left,['pen'],2,
15594,15594,15594,45285,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
15595,15595,15595,62828,moving adapter up,Moving [something] up,['adapter'],2,
15596,15596,15596,84006,moving screwdriver down,Moving [something] down,['screwdriver'],2,
15597,15597,15597,147415,pushing mouse from left to right,Pushing [something] from left to right,['mouse'],2,
15606,15606,15606,86355,uncovering tv remote,Uncovering [something],['remote'],2,
15612,15612,15612,57310,pushing stone from right to left,Pushing [something] from right to left,['stone'],2,False
15622,15622,15622,151341,covering lamp box with bowl,Covering [something] with [something],"['lamp', 'bowl']",3,e_frame - s_frame < 4
15624,15624,15624,190655,covering orange with paper,Covering [something] with [something],"['orange', 'paper']",3,
15649,15649,15649,182778,pushing cap from right to left,Pushing [something] from right to left,['cap'],2,
15665,15665,15665,162866,pushing glass from right to left,Pushing [something] from right to left,['glass'],2,
15670,15670,15670,132047,moving pencil up,Moving [something] up,['pen'],2,
15696,15696,15696,68377,pushing bottle from right to left,Pushing [something] from right to left,['bottle'],2,
15700,15700,15700,53678,moving sharpener down,Moving [something] down,['sharpener'],2,
15705,15705,15705,129201,covering coin with card,Covering [something] with [something],"['coin', 'card']",3,e_frame - s_frame < 4
15715,15715,15715,168575,uncovering glasses,Uncovering [something],['glass'],2,e_frame - s_frame < 4
15716,15716,15716,116291,covering orange with hat,Covering [something] with [something],"['orange', 'hat']",3,
15730,15730,15730,57805,pushing bottle from left to right,Pushing [something] from left to right,['bottle'],2,
15732,15732,15732,182269,putting dreidel on a surface,Putting [something] on a surface,['dreidel'],2,
15735,15735,15735,90724,moving a knife down,Moving [something] down,['knife'],2,
15738,15738,15738,147661,taking lipstick,Taking [one of many similar things on the table],['lipstick'],2,
15762,15762,15762,183415,taking book,Taking [one of many similar things on the table],['book'],2,
15764,15764,15764,104353,pushing paper from right to left,Pushing [something] from right to left,['paper'],2,
15773,15773,15773,132864,moving soap up,Moving [something] up,['soap'],2,
15775,15775,15775,71092,moving pencil up,Moving [something] up,['pen'],2,
15792,15792,15792,66037,uncovering color pencils,Uncovering [something],['pen'],2,False
15795,15795,15795,204336,putting bottle on a surface,Putting [something] on a surface,['bottle'],2,
15805,15805,15805,126260,putting pen on a surface,Putting [something] on a surface,['pen'],2,
15818,15818,15818,46675,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
15826,15826,15826,94914,taking cup,Taking [one of many similar things on the table],['cup'],2,
15827,15827,15827,184715,pushing phone from left to right,Pushing [something] from left to right,['phone'],2,
15858,15858,15858,2170,uncovering pencil,Uncovering [something],['pen'],2,
15879,15879,15879,121327,moving eraser up,Moving [something] up,['eraser'],2,
15885,15885,15885,15660,pushing scissor from left to right,Pushing [something] from left to right,['scissors'],2,
15887,15887,15887,117037,moving color pencils down,Moving [something] down,['pen'],2,
15896,15896,15896,31872,moving knife up,Moving [something] up,['knife'],2,
15911,15911,15911,41984,moving brush up,Moving [something] up,['brush'],2,
15945,15945,15945,108998,pushing color pencils from right to left,Pushing [something] from right to left,['pen'],2,
15952,15952,15952,105602,moving mug up,Moving [something] up,['mug'],2,
15959,15959,15959,124738,putting a cup on a surface,Putting [something] on a surface,['cup'],2,
15966,15966,15966,190734,moving wrist watch up,Moving [something] up,['watch'],2,
15975,15975,15975,13909,moving comb down,Moving [something] down,['comb'],2,
15989,15989,15989,59002,putting a bottle on a surface,Putting [something] on a surface,['bottle'],2,
16037,16037,16037,10355,putting pen on a surface,Putting [something] on a surface,['pen'],2,
16049,16049,16049,161572,putting cd on a surface,Putting [something] on a surface,['cd'],2,
16056,16056,16056,194754,covering card with paper,Covering [something] with [something],"['card', 'paper']",3,e_frame - s_frame < 4
16071,16071,16071,110249,pushing glasses from left to right,Pushing [something] from left to right,['glass'],2,
16080,16080,16080,158002,moving pen down,Moving [something] down,['pen'],2,
16081,16081,16081,140133,pushing watch from right to left,Pushing [something] from right to left,['watch'],2,
16083,16083,16083,33389,moving book down,Moving [something] down,['book'],2,
16091,16091,16091,213752,putting smartphone on a surface,Putting [something] on a surface,['phone'],2,
16093,16093,16093,24667,moving color pencils up,Moving [something] up,['pen'],2,
16094,16094,16094,102419,moving mobile up,Moving [something] up,['phone'],2,
16122,16122,16122,209674,putting scissors on a surface,Putting [something] on a surface,['scissors'],2,
16148,16148,16148,218874,taking deodorants,Taking [one of many similar things on the table],['deodorant'],2,
16151,16151,16151,205036,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
16154,16154,16154,158101,taking coins,Taking [one of many similar things on the table],['coin'],2,
16170,16170,16170,199561,moving phone up,Moving [something] up,['phone'],2,False
16172,16172,16172,198497,taking markers,Taking [one of many similar things on the table],['marker'],2,
16177,16177,16177,192049,putting cellphone on a surface,Putting [something] on a surface,['phone'],2,
16178,16178,16178,159568,putting cloth on a surface,Putting [something] on a surface,['cloth'],2,e_frame - s_frame < 4
16229,16229,16229,94889,pushing battery from right to left,Pushing [something] from right to left,['battery'],2,
16233,16233,16233,201402,putting keys on a surface,Putting [something] on a surface,['key'],2,
16271,16271,16271,154038,pushing marker from left to right,Pushing [something] from left to right,['marker'],2,
16274,16274,16274,11174,pushing comb from right to left,Pushing [something] from right to left,['comb'],2,
16293,16293,16293,164867,putting fork on a surface,Putting [something] on a surface,['fork'],2,False
16338,16338,16338,57827,pushing battery from left to right,Pushing [something] from left to right,['battery'],2,
16340,16340,16340,166654,moving book up,Moving [something] up,['book'],2,
16361,16361,16361,136472,putting a key on a surface,Putting [something] on a surface,['key'],2,
16375,16375,16375,349,taking spoon,Taking [one of many similar things on the table],['spoon'],2,
16385,16385,16385,197964,uncovering toy,Uncovering [something],['toy'],2,
16389,16389,16389,46985,pushing mobile from left to right,Pushing [something] from left to right,['phone'],2,
16390,16390,16390,41612,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
16408,16408,16408,147696,pushing color pencils from left to right,Pushing [something] from left to right,['pen'],2,
16411,16411,16411,106708,moving knife up,Moving [something] up,['knife'],2,
16417,16417,16417,15330,putting glasses on a surface,Putting [something] on a surface,['glass'],2,
16427,16427,16427,50276,uncovering a bowl,Uncovering [something],['bowl'],2,e_frame - s_frame < 4
16430,16430,16430,38772,moving a glass down,Moving [something] down,['glass'],2,
16431,16431,16431,125961,pushing clock from left to right,Pushing [something] from left to right,['clock'],2,
16432,16432,16432,30851,pushing color pencils from left to right,Pushing [something] from left to right,['pen'],2,
16438,16438,16438,66030,moving a lighter down,Moving [something] down,['lighter'],2,
16440,16440,16440,68160,covering a toy with a sock,Covering [something] with [something],"['toy', 'sock']",3,e_frame - s_frame < 4
16480,16480,16480,193109,pushing marker from right to left,Pushing [something] from right to left,['marker'],2,
16487,16487,16487,11617,putting lighter on a surface,Putting [something] on a surface,['lighter'],2,
16488,16488,16488,6159,pushing mobile from left to right,Pushing [something] from left to right,['phone'],2,
16500,16500,16500,139488,moving wrist watch up,Moving [something] up,['watch'],2,
16509,16509,16509,167439,uncovering color pencils,Uncovering [something],['pen'],2,e_frame - s_frame < 4
16527,16527,16527,186508,pushing pencil from right to left,Pushing [something] from right to left,['pen'],2,
16529,16529,16529,181258,moving plate up,Moving [something] up,['plate'],2,
16533,16533,16533,185917,moving a book up,Moving [something] up,['book'],2,
16536,16536,16536,177427,pushing a book from left to right,Pushing [something] from left to right,['book'],2,
16542,16542,16542,58159,putting coin on a surface,Putting [something] on a surface,['coin'],2,
16556,16556,16556,171292,moving eraser down,Moving [something] down,['eraser'],2,
16577,16577,16577,142157,pushing mobile from left to right,Pushing [something] from left to right,['phone'],2,
16580,16580,16580,148998,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
16590,16590,16590,70142,putting wrist watch on a surface,Putting [something] on a surface,['watch'],2,
16594,16594,16594,2735,uncovering a mobile,Uncovering [something],['phone'],2,
16617,16617,16617,38301,putting dreidel on a surface,Putting [something] on a surface,['dreidel'],2,
16633,16633,16633,10109,uncovering shoe,Uncovering [something],['shoe'],2,False
16662,16662,16662,136178,putting a phone on a surface,Putting [something] on a surface,['phone'],2,
16673,16673,16673,28660,pushing toy car from right to left,Pushing [something] from right to left,['toy car'],2,
16726,16726,16726,52249,taking apple,Taking [one of many similar things on the table],['apple'],2,
16752,16752,16752,199392,covering a coin with a card,Covering [something] with [something],"['coin', 'card']",3,e_frame - s_frame < 4
16785,16785,16785,134777,covering marker with keyboard,Covering [something] with [something],"['marker', 'keyboard']",3,
16794,16794,16794,99665,moving box down,Moving [something] down,['box'],2,
16798,16798,16798,71757,uncovering lipstick,Uncovering [something],['lipstick'],2,
16834,16834,16834,3487,putting pen on a surface,Putting [something] on a surface,['pen'],2,
16838,16838,16838,33412,moving tomato up,Moving [something] up,['tomato'],2,
16843,16843,16843,110632,pushing stapler from left to right,Pushing [something] from left to right,['stapler'],2,
16847,16847,16847,213702,uncovering cutter,Uncovering [something],['cutter'],2,e_frame - s_frame < 4
16867,16867,16867,11705,putting pen on a surface,Putting [something] on a surface,['pen'],2,
16877,16877,16877,42439,pushing tv remote from right to left,Pushing [something] from right to left,['remote'],2,
16882,16882,16882,198986,taking remote,Taking [one of many similar things on the table],['remote'],2,
16891,16891,16891,76979,pushing watch from left to right,Pushing [something] from left to right,['watch'],2,
16896,16896,16896,61628,pushing a jar from left to right,Pushing [something] from left to right,['jar'],2,
16917,16917,16917,147321,pushing tissue from left to right,Pushing [something] from left to right,['tissue'],2,
16918,16918,16918,212440,moving a lipstick up,Moving [something] up,['lipstick'],2,
16920,16920,16920,143388,moving a plastic cup up,Moving [something] up,['cup'],2,
16928,16928,16928,96886,putting mouse on a surface,Putting [something] on a surface,['mouse'],2,
16941,16941,16941,142079,moving wallet up,Moving [something] up,['wallet'],2,
16949,16949,16949,162504,putting banana on a surface,Putting [something] on a surface,['banana'],2,
16954,16954,16954,37916,covering adapter with plastic bag,Covering [something] with [something],"['adapter', 'bag']",3,
16988,16988,16988,170258,covering a wallet with a blanket,Covering [something] with [something],"['wallet', 'blanket']",3,
17034,17034,17034,102584,moving banana up,Moving [something] up,['banana'],2,
17044,17044,17044,34563,pushing onion from right to left,Pushing [something] from right to left,['onion'],2,
17061,17061,17061,90085,pushing bottle from right to left,Pushing [something] from right to left,['bottle'],2,
17071,17071,17071,212463,uncovering pen,Uncovering [something],['pen'],2,
17073,17073,17073,192800,moving candle down,Moving [something] down,['candle'],2,
17088,17088,17088,47247,moving nail polish up,Moving [something] up,['nail polish'],2,
17094,17094,17094,66267,moving a banana up,Moving [something] up,['banana'],2,
17106,17106,17106,203614,putting comb on a surface,Putting [something] on a surface,['comb'],2,
17118,17118,17118,106082,putting a glass on a surface,Putting [something] on a surface,['glass'],2,
17129,17129,17129,57658,moving wallet up,Moving [something] up,['wallet'],2,
17133,17133,17133,105377,pushing a container from left to right,Pushing [something] from left to right,['container'],2,
17148,17148,17148,16311,putting cap on a surface,Putting [something] on a surface,['cap'],2,
17169,17169,17169,144878,moving shoe up,Moving [something] up,['shoe'],2,
17172,17172,17172,195899,moving color pencils up,Moving [something] up,['pen'],2,
17176,17176,17176,144740,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
17190,17190,17190,75901,putting deodorant on a surface,Putting [something] on a surface,['deodorant'],2,
17197,17197,17197,9414,moving toilet paper up,Moving [something] up,['paper'],2,
17207,17207,17207,89652,uncovering mp3 player,Uncovering [something],['player'],2,e_frame - s_frame < 4
17222,17222,17222,133024,moving toothbrush up,Moving [something] up,['toothbrush'],2,
17276,17276,17276,201166,moving knife down,Moving [something] down,['knife'],2,
17278,17278,17278,57407,putting a knife on a surface,Putting [something] on a surface,['knife'],2,
17286,17286,17286,25952,moving tomato up,Moving [something] up,['tomato'],2,
17287,17287,17287,19145,pushing marker from left to right,Pushing [something] from left to right,['marker'],2,
17293,17293,17293,150933,pushing glasses from right to left,Pushing [something] from right to left,['glass'],2,
17301,17301,17301,216079,pushing eraser from left to right,Pushing [something] from left to right,['eraser'],2,
17315,17315,17315,24357,moving color pencils down,Moving [something] down,['pen'],2,False
17326,17326,17326,146749,putting coin on a surface,Putting [something] on a surface,['coin'],2,
17331,17331,17331,46342,moving plastic bag up,Moving [something] up,['bag'],2,
17366,17366,17366,78098,pushing container from left to right,Pushing [something] from left to right,['container'],2,
17372,17372,17372,100335,uncovering watch,Uncovering [something],['watch'],2,False
17374,17374,17374,90473,putting mobile on a surface,Putting [something] on a surface,['phone'],2,
17394,17394,17394,5462,taking tape,Taking [one of many similar things on the table],['tape'],2,
17403,17403,17403,133307,moving spoon down,Moving [something] down,['spoon'],2,
17409,17409,17409,184914,putting knife on a surface,Putting [something] on a surface,['knife'],2,
17412,17412,17412,118333,moving color pencils up,Moving [something] up,['pen'],2,
17415,17415,17415,24047,moving remote down,Moving [something] down,['remote'],2,
17422,17422,17422,24688,putting a glass on a surface,Putting [something] on a surface,['glass'],2,
17433,17433,17433,212568,moving scissors down,Moving [something] down,['scissors'],2,
17453,17453,17453,105540,pushing bottle from right to left,Pushing [something] from right to left,['bottle'],2,
17454,17454,17454,41730,taking markers,Taking [one of many similar things on the table],['marker'],2,
17456,17456,17456,135672,uncovering doll,Uncovering [something],['doll'],2,e_frame - s_frame < 4
17459,17459,17459,52957,moving remote down,Moving [something] down,['remote'],2,
17488,17488,17488,87617,pushing color pencils from right to left,Pushing [something] from right to left,['pen'],2,
17497,17497,17497,215574,covering crayon with paper,Covering [something] with [something],"['crayon', 'paper']",3,e_frame - s_frame < 4
17504,17504,17504,164750,moving color pencils up,Moving [something] up,['pen'],2,
17506,17506,17506,2673,covering card with paper,Covering [something] with [something],"['card', 'paper']",3,
17513,17513,17513,106621,uncovering calculator,Uncovering [something],['calculator'],2,False
17520,17520,17520,107892,moving key up,Moving [something] up,['key'],2,
17558,17558,17558,54200,pushing marker from right to left,Pushing [something] from right to left,['marker'],2,
17567,17567,17567,45792,moving cable up,Moving [something] up,['cable'],2,
17568,17568,17568,98518,pushing color pencils from left to right,Pushing [something] from left to right,['pen'],2,
17576,17576,17576,181948,covering adapter with plastic bag,Covering [something] with [something],"['adapter', 'bag']",3,
17589,17589,17589,35946,uncovering lighter,Uncovering [something],['lighter'],2,e_frame - s_frame < 4
17592,17592,17592,114998,pushing box from left to right,Pushing [something] from left to right,['box'],2,
17618,17618,17618,162701,pushing shampoo from right to left,Pushing [something] from right to left,['shampoo'],2,
17678,17678,17678,35695,taking remote,Taking [one of many similar things on the table],['remote'],2,
17688,17688,17688,88133,taking remote,Taking [one of many similar things on the table],['remote'],2,
17719,17719,17719,139434,putting a pillow on a surface,Putting [something] on a surface,['pillow'],2,
17735,17735,17735,16679,putting pen on a surface,Putting [something] on a surface,['pen'],2,
17758,17758,17758,186541,uncovering crayon,Uncovering [something],['crayon'],2,
17769,17769,17769,93312,covering mouse with paper,Covering [something] with [something],"['mouse', 'paper']",3,
17774,17774,17774,47746,pushing retractable knife from left to right,Pushing [something] from left to right,['knife'],2,
17791,17791,17791,58267,pushing mobile from left to right,Pushing [something] from left to right,['phone'],2,
17814,17814,17814,36981,pushing paper from right to left,Pushing [something] from right to left,['paper'],2,
17828,17828,17828,38446,putting a clock on a surface,Putting [something] on a surface,['clock'],2,
17857,17857,17857,81082,covering coin with tissue,Covering [something] with [something],"['coin', 'tissue']",3,
17890,17890,17890,103553,pushing color pencils from right to left,Pushing [something] from right to left,['pen'],2,
17896,17896,17896,92608,moving a remote control down,Moving [something] down,['remote'],2,
17903,17903,17903,129000,pushing wallet from left to right,Pushing [something] from left to right,['wallet'],2,
17908,17908,17908,146541,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
17935,17935,17935,89633,moving plate up,Moving [something] up,['plate'],2,
17945,17945,17945,163569,putting book on a surface,Putting [something] on a surface,['book'],2,
17967,17967,17967,35643,moving a coin up,Moving [something] up,['coin'],2,
17972,17972,17972,181851,moving pencil down,Moving [something] down,['pen'],2,
18029,18029,18029,202957,putting box on a surface,Putting [something] on a surface,['box'],2,
18038,18038,18038,136861,pushing keys from right to left,Pushing [something] from right to left,['key'],2,
18059,18059,18059,3070,moving pendrive up,Moving [something] up,['pendrive'],2,
18084,18084,18084,193602,pushing screwdriver from right to left,Pushing [something] from right to left,['screwdriver'],2,
18097,18097,18097,183538,pushing book from right to left,Pushing [something] from right to left,['book'],2,
18101,18101,18101,121979,pushing color pencils from left to right,Pushing [something] from left to right,['pen'],2,
18129,18129,18129,171681,putting cd on a surface,Putting [something] on a surface,['cd'],2,
18197,18197,18197,1739,moving ring up,Moving [something] up,['ring'],2,
18198,18198,18198,198015,uncovering phone,Uncovering [something],['phone'],2,
18221,18221,18221,88112,uncovering dish,Uncovering [something],['dish'],2,e_frame - s_frame < 4
18232,18232,18232,52014,covering pillow with blanket,Covering [something] with [something],"['pillow', 'blanket']",3,False
18244,18244,18244,202697,moving remote up,Moving [something] up,['remote'],2,
18248,18248,18248,157803,moving cutter up,Moving [something] up,['cutter'],2,
18259,18259,18259,147360,putting eraser on a surface,Putting [something] on a surface,['eraser'],2,
18322,18322,18322,149496,moving watch down,Moving [something] down,['watch'],2,
18340,18340,18340,23616,pushing toy car from left to right,Pushing [something] from left to right,['toy car'],2,
18350,18350,18350,203239,pushing remote from right to left,Pushing [something] from right to left,['remote'],2,
18358,18358,18358,99194,pushing plate from right to left,Pushing [something] from right to left,['plate'],2,
18364,18364,18364,158342,pushing glasses from right to left,Pushing [something] from right to left,['glass'],2,
18371,18371,18371,212389,pushing key from left to right,Pushing [something] from left to right,['key'],2,
18376,18376,18376,83783,covering key with tv remote,Covering [something] with [something],"['key', 'remote']",3,
18379,18379,18379,137133,taking remote,Taking [one of many similar things on the table],['remote'],2,
18383,18383,18383,20448,pushing book from right to left,Pushing [something] from right to left,['book'],2,
18393,18393,18393,109527,pushing ball from left to right,Pushing [something] from left to right,['ball'],2,False
18402,18402,18402,51853,covering cup with plate,Covering [something] with [something],"['cup', 'plate']",3,
18404,18404,18404,183293,covering card with paper,Covering [something] with [something],"['card', 'paper']",3,e_frame - s_frame < 4
18473,18473,18473,220670,pushing remote from left to right,Pushing [something] from left to right,['remote'],2,
18479,18479,18479,91876,moving permanent marker down,Moving [something] down,['marker'],2,
18504,18504,18504,172423,moving remote control up,Moving [something] up,['remote'],2,
18589,18589,18589,47616,pushing lemon from right to left,Pushing [something] from right to left,['lemon'],2,
18591,18591,18591,167740,moving note book up,Moving [something] up,['book'],2,
18595,18595,18595,74777,pushing book from right to left,Pushing [something] from right to left,['book'],2,
18605,18605,18605,166574,moving brush down,Moving [something] down,['brush'],2,
18612,18612,18612,73303,moving mouse down,Moving [something] down,['mouse'],2,
18616,18616,18616,48337,putting highlighter on a surface,Putting [something] on a surface,['marker'],2,
18617,18617,18617,157035,covering a pen with a piece of paper,Covering [something] with [something],"['pen', 'paper']",3,
18632,18632,18632,57777,pushing mouse from left to right,Pushing [something] from left to right,['mouse'],2,
18672,18672,18672,46875,taking remote,Taking [one of many similar things on the table],['remote'],2,
18681,18681,18681,28621,uncovering color pencils,Uncovering [something],['pen'],2,e_frame - s_frame < 4
18689,18689,18689,115312,putting pillow on a surface,Putting [something] on a surface,['pillow'],2,
